Log of Mask Areas for Each Frame
--------------------------------------------------
Frame 0, Class: erc_90, Conf: 0.98, Mask Area: 46240 pixels^2
Frame 15, Class: erc_90, Conf: 0.98, Mask Area: 46570 pixels^2
Frame 15, Class: erc_90, Conf: 0.73, Mask Area: 4740 pixels^2
Frame 16, Class: erc_90, Conf: 0.98, Mask Area: 46501 pixels^2
Frame 16, Class: erc_90, Conf: 0.59, Mask Area: 4856 pixels^2
Frame 17, Class: erc_90, Conf: 0.98, Mask Area: 46763 pixels^2
Frame 17, Class: erc_90, Conf: 0.57, Mask Area: 4849 pixels^2
Frame 18, Class: erc_90, Conf: 0.98, Mask Area: 46585 pixels^2
Frame 18, Class: erc_90, Conf: 0.32, Mask Area: 4837 pixels^2
Frame 19, Class: erc_90, Conf: 0.98, Mask Area: 46444 pixels^2
Frame 19, Class: erc_90, Conf: 0.54, Mask Area: 4851 pixels^2
Frame 20, Class: erc_90, Conf: 0.98, Mask Area: 46260 pixels^2
Frame 20, Class: erc_90, Conf: 0.40, Mask Area: 4686 pixels^2
Frame 21, Class: erc_90, Conf: 0.98, Mask Area: 46259 pixels^2
Frame 21, Class: erc_90, Conf: 0.63, Mask Area: 4637 pixels^2
Frame 22, Class: erc_90, Conf: 0.98, Mask Area: 46515 pixels^2
Frame 22, Class: erc_90, Conf: 0.66, Mask Area: 4684 pixels^2
Frame 23, Class: erc_90, Conf: 0.98, Mask Area: 46538 pixels^2
Frame 23, Class: erc_90, Conf: 0.54, Mask Area: 4593 pixels^2
Frame 24, Class: erc_90, Conf: 0.98, Mask Area: 46484 pixels^2
Frame 24, Class: erc_90, Conf: 0.59, Mask Area: 4825 pixels^2
Frame 25, Class: erc_90, Conf: 0.98, Mask Area: 46404 pixels^2
Frame 25, Class: erc_90, Conf: 0.60, Mask Area: 4816 pixels^2
Frame 26, Class: erc_90, Conf: 0.98, Mask Area: 46393 pixels^2
Frame 26, Class: erc_90, Conf: 0.51, Mask Area: 4821 pixels^2
Frame 27, Class: erc_90, Conf: 0.98, Mask Area: 46619 pixels^2
Frame 27, Class: erc_90, Conf: 0.52, Mask Area: 4825 pixels^2
Frame 28, Class: erc_90, Conf: 0.98, Mask Area: 46482 pixels^2
Frame 28, Class: erc_90, Conf: 0.41, Mask Area: 4830 pixels^2
Frame 29, Class: erc_90, Conf: 0.98, Mask Area: 46698 pixels^2
Frame 29, Class: erc_90, Conf: 0.51, Mask Area: 4810 pixels^2
Frame 30, Class: erc_90, Conf: 0.97, Mask Area: 46927 pixels^2
Frame 30, Class: erc_90, Conf: 0.47, Mask Area: 4738 pixels^2
Frame 31, Class: erc_90, Conf: 0.98, Mask Area: 46845 pixels^2
Frame 31, Class: erc_90, Conf: 0.52, Mask Area: 4719 pixels^2
Frame 32, Class: erc_90, Conf: 0.98, Mask Area: 46695 pixels^2
Frame 33, Class: erc_90, Conf: 0.98, Mask Area: 46574 pixels^2
Frame 33, Class: erc_90, Conf: 0.35, Mask Area: 4833 pixels^2
Frame 34, Class: erc_90, Conf: 0.98, Mask Area: 46683 pixels^2
Frame 34, Class: erc_90, Conf: 0.48, Mask Area: 4831 pixels^2
Frame 35, Class: erc_90, Conf: 0.98, Mask Area: 46408 pixels^2
Frame 35, Class: erc_90, Conf: 0.67, Mask Area: 4711 pixels^2
Frame 36, Class: erc_90, Conf: 0.98, Mask Area: 46333 pixels^2
Frame 36, Class: erc_90, Conf: 0.69, Mask Area: 4831 pixels^2
Frame 37, Class: erc_90, Conf: 0.98, Mask Area: 46718 pixels^2
Frame 37, Class: erc_90, Conf: 0.58, Mask Area: 4799 pixels^2
Frame 38, Class: erc_90, Conf: 0.98, Mask Area: 46715 pixels^2
Frame 38, Class: erc_90, Conf: 0.66, Mask Area: 4847 pixels^2
Frame 39, Class: erc_90, Conf: 0.98, Mask Area: 46482 pixels^2
Frame 39, Class: erc_90, Conf: 0.60, Mask Area: 4817 pixels^2
Frame 40, Class: erc_90, Conf: 0.98, Mask Area: 46655 pixels^2
Frame 40, Class: erc_90, Conf: 0.41, Mask Area: 4818 pixels^2
Frame 41, Class: erc_90, Conf: 0.98, Mask Area: 46650 pixels^2
Frame 41, Class: erc_90, Conf: 0.30, Mask Area: 4816 pixels^2
Frame 42, Class: erc_90, Conf: 0.98, Mask Area: 46683 pixels^2
Frame 42, Class: erc_90, Conf: 0.27, Mask Area: 4838 pixels^2
Frame 43, Class: erc_90, Conf: 0.98, Mask Area: 46514 pixels^2
Frame 43, Class: erc_90, Conf: 0.44, Mask Area: 4843 pixels^2
Frame 44, Class: erc_90, Conf: 0.98, Mask Area: 46349 pixels^2
Frame 44, Class: erc_90, Conf: 0.33, Mask Area: 4814 pixels^2
Frame 45, Class: erc_90, Conf: 0.98, Mask Area: 46639 pixels^2
Frame 45, Class: erc_90, Conf: 0.50, Mask Area: 4793 pixels^2
Frame 46, Class: erc_90, Conf: 0.98, Mask Area: 46395 pixels^2
Frame 46, Class: erc_90, Conf: 0.38, Mask Area: 4774 pixels^2
Frame 47, Class: erc_90, Conf: 0.98, Mask Area: 46411 pixels^2
Frame 47, Class: erc_90, Conf: 0.42, Mask Area: 4782 pixels^2
Frame 48, Class: erc_90, Conf: 0.98, Mask Area: 46400 pixels^2
Frame 48, Class: erc_90, Conf: 0.74, Mask Area: 4703 pixels^2
Frame 49, Class: erc_90, Conf: 0.98, Mask Area: 46706 pixels^2
Frame 49, Class: erc_90, Conf: 0.67, Mask Area: 4679 pixels^2
Frame 50, Class: erc_90, Conf: 0.98, Mask Area: 46282 pixels^2
Frame 50, Class: erc_90, Conf: 0.49, Mask Area: 4759 pixels^2
Frame 51, Class: erc_90, Conf: 0.98, Mask Area: 46272 pixels^2
Frame 51, Class: erc_90, Conf: 0.51, Mask Area: 4687 pixels^2
Frame 52, Class: erc_90, Conf: 0.98, Mask Area: 46559 pixels^2
Frame 52, Class: erc_90, Conf: 0.44, Mask Area: 4808 pixels^2
Frame 53, Class: erc_90, Conf: 0.98, Mask Area: 46648 pixels^2
Frame 53, Class: erc_90, Conf: 0.40, Mask Area: 4815 pixels^2
Frame 54, Class: erc_90, Conf: 0.98, Mask Area: 46618 pixels^2
Frame 54, Class: erc_90, Conf: 0.50, Mask Area: 4825 pixels^2
Frame 55, Class: erc_90, Conf: 0.98, Mask Area: 46794 pixels^2
Frame 55, Class: erc_90, Conf: 0.43, Mask Area: 4821 pixels^2
Frame 56, Class: erc_90, Conf: 0.98, Mask Area: 46807 pixels^2
Frame 56, Class: erc_90, Conf: 0.52, Mask Area: 4674 pixels^2
Frame 57, Class: erc_90, Conf: 0.98, Mask Area: 46716 pixels^2
Frame 57, Class: erc_90, Conf: 0.52, Mask Area: 4815 pixels^2
Frame 58, Class: erc_90, Conf: 0.98, Mask Area: 46753 pixels^2
Frame 58, Class: erc_90, Conf: 0.57, Mask Area: 4824 pixels^2
Frame 59, Class: erc_90, Conf: 0.98, Mask Area: 46813 pixels^2
Frame 59, Class: erc_90, Conf: 0.67, Mask Area: 4775 pixels^2
Frame 60, Class: erc_90, Conf: 0.98, Mask Area: 46398 pixels^2
Frame 60, Class: erc_90, Conf: 0.56, Mask Area: 4784 pixels^2
Frame 61, Class: erc_90, Conf: 0.98, Mask Area: 46376 pixels^2
Frame 61, Class: erc_90, Conf: 0.73, Mask Area: 4781 pixels^2
Frame 62, Class: erc_90, Conf: 0.98, Mask Area: 46892 pixels^2
Frame 62, Class: erc_90, Conf: 0.75, Mask Area: 4785 pixels^2
Frame 63, Class: erc_90, Conf: 0.98, Mask Area: 46930 pixels^2
Frame 63, Class: erc_90, Conf: 0.71, Mask Area: 4785 pixels^2
Frame 64, Class: erc_90, Conf: 0.98, Mask Area: 46845 pixels^2
Frame 64, Class: erc_90, Conf: 0.71, Mask Area: 4775 pixels^2
Frame 65, Class: erc_90, Conf: 0.98, Mask Area: 46603 pixels^2
Frame 65, Class: erc_90, Conf: 0.78, Mask Area: 4779 pixels^2
Frame 66, Class: erc_90, Conf: 0.98, Mask Area: 46333 pixels^2
Frame 66, Class: erc_90, Conf: 0.80, Mask Area: 4776 pixels^2
Frame 67, Class: erc_90, Conf: 0.98, Mask Area: 46569 pixels^2
Frame 67, Class: erc_90, Conf: 0.55, Mask Area: 4779 pixels^2
Frame 68, Class: erc_90, Conf: 0.98, Mask Area: 46680 pixels^2
Frame 68, Class: erc_90, Conf: 0.64, Mask Area: 4768 pixels^2
Frame 69, Class: erc_90, Conf: 0.98, Mask Area: 46605 pixels^2
Frame 69, Class: erc_90, Conf: 0.55, Mask Area: 4789 pixels^2
Frame 70, Class: erc_90, Conf: 0.98, Mask Area: 46580 pixels^2
Frame 70, Class: erc_90, Conf: 0.60, Mask Area: 4771 pixels^2
Frame 71, Class: erc_90, Conf: 0.98, Mask Area: 46737 pixels^2
Frame 71, Class: erc_90, Conf: 0.46, Mask Area: 4784 pixels^2
Frame 72, Class: erc_90, Conf: 0.98, Mask Area: 46434 pixels^2
Frame 72, Class: erc_90, Conf: 0.28, Mask Area: 4799 pixels^2
Frame 73, Class: erc_90, Conf: 0.98, Mask Area: 46923 pixels^2
Frame 73, Class: erc_90, Conf: 0.33, Mask Area: 4821 pixels^2
Frame 74, Class: erc_90, Conf: 0.98, Mask Area: 46315 pixels^2
Frame 74, Class: erc_90, Conf: 0.59, Mask Area: 4787 pixels^2
Frame 75, Class: erc_90, Conf: 0.98, Mask Area: 46442 pixels^2
Frame 75, Class: erc_90, Conf: 0.36, Mask Area: 4780 pixels^2
Frame 76, Class: erc_90, Conf: 0.98, Mask Area: 46112 pixels^2
Frame 76, Class: erc_90, Conf: 0.63, Mask Area: 4752 pixels^2
Frame 77, Class: erc_90, Conf: 0.99, Mask Area: 46203 pixels^2
Frame 78, Class: erc_90, Conf: 0.98, Mask Area: 46263 pixels^2
Frame 78, Class: erc_90, Conf: 0.68, Mask Area: 4517 pixels^2
Frame 79, Class: erc_90, Conf: 0.98, Mask Area: 46460 pixels^2
Frame 80, Class: erc_90, Conf: 0.98, Mask Area: 46124 pixels^2
Frame 80, Class: erc_90, Conf: 0.49, Mask Area: 4457 pixels^2
Frame 81, Class: erc_90, Conf: 0.97, Mask Area: 46368 pixels^2
Frame 81, Class: erc_90, Conf: 0.55, Mask Area: 4365 pixels^2
Frame 82, Class: erc_90, Conf: 0.98, Mask Area: 46533 pixels^2
Frame 83, Class: erc_90, Conf: 0.98, Mask Area: 46584 pixels^2
Frame 84, Class: erc_90, Conf: 0.98, Mask Area: 46609 pixels^2
Frame 85, Class: erc_90, Conf: 0.98, Mask Area: 46647 pixels^2
Frame 86, Class: erc_90, Conf: 0.98, Mask Area: 46597 pixels^2
Frame 87, Class: erc_90, Conf: 0.98, Mask Area: 46983 pixels^2
Frame 88, Class: erc_90, Conf: 0.98, Mask Area: 47150 pixels^2
Frame 89, Class: erc_90, Conf: 0.97, Mask Area: 46927 pixels^2
Frame 90, Class: erc_90, Conf: 0.98, Mask Area: 46700 pixels^2
Frame 91, Class: erc_90, Conf: 0.98, Mask Area: 46539 pixels^2
Frame 92, Class: erc_90, Conf: 0.98, Mask Area: 46569 pixels^2
Frame 93, Class: erc_90, Conf: 0.98, Mask Area: 46117 pixels^2
Frame 94, Class: erc_90, Conf: 0.98, Mask Area: 46070 pixels^2
Frame 95, Class: erc_90, Conf: 0.98, Mask Area: 46303 pixels^2
Frame 96, Class: erc_90, Conf: 0.98, Mask Area: 46090 pixels^2
Frame 97, Class: erc_90, Conf: 0.98, Mask Area: 46164 pixels^2
Frame 98, Class: erc_90, Conf: 0.99, Mask Area: 46222 pixels^2
Frame 99, Class: erc_90, Conf: 0.98, Mask Area: 46330 pixels^2
Frame 100, Class: erc_90, Conf: 0.98, Mask Area: 46313 pixels^2
Frame 101, Class: erc_90, Conf: 0.99, Mask Area: 46187 pixels^2
Frame 102, Class: erc_90, Conf: 0.98, Mask Area: 46332 pixels^2
Frame 103, Class: erc_90, Conf: 0.98, Mask Area: 46369 pixels^2
Frame 104, Class: erc_90, Conf: 0.98, Mask Area: 46392 pixels^2
Frame 105, Class: erc_90, Conf: 0.98, Mask Area: 46474 pixels^2
Frame 106, Class: erc_90, Conf: 0.98, Mask Area: 46506 pixels^2
Frame 107, Class: erc_90, Conf: 0.98, Mask Area: 46488 pixels^2
Frame 108, Class: erc_90, Conf: 0.98, Mask Area: 46357 pixels^2
Frame 109, Class: erc_90, Conf: 0.99, Mask Area: 46204 pixels^2
Frame 110, Class: erc_90, Conf: 0.98, Mask Area: 46350 pixels^2
Frame 111, Class: erc_90, Conf: 0.98, Mask Area: 46367 pixels^2
Frame 112, Class: erc_90, Conf: 0.98, Mask Area: 46207 pixels^2
Frame 113, Class: erc_90, Conf: 0.98, Mask Area: 45993 pixels^2
Frame 114, Class: erc_90, Conf: 0.98, Mask Area: 46201 pixels^2
Frame 115, Class: erc_90, Conf: 0.98, Mask Area: 46216 pixels^2
Frame 116, Class: erc_90, Conf: 0.98, Mask Area: 46343 pixels^2
Frame 117, Class: erc_90, Conf: 0.98, Mask Area: 46190 pixels^2
Frame 118, Class: erc_90, Conf: 0.98, Mask Area: 46355 pixels^2
Frame 119, Class: erc_90, Conf: 0.98, Mask Area: 45984 pixels^2
Frame 120, Class: erc_90, Conf: 0.98, Mask Area: 46278 pixels^2
Frame 121, Class: erc_90, Conf: 0.98, Mask Area: 46553 pixels^2
Frame 122, Class: erc_90, Conf: 0.98, Mask Area: 46692 pixels^2
Frame 123, Class: erc_90, Conf: 0.97, Mask Area: 46578 pixels^2
Frame 124, Class: erc_90, Conf: 0.98, Mask Area: 46568 pixels^2
Frame 125, Class: erc_90, Conf: 0.98, Mask Area: 46831 pixels^2
Frame 126, Class: erc_90, Conf: 0.98, Mask Area: 46909 pixels^2
Frame 127, Class: erc_90, Conf: 0.98, Mask Area: 46103 pixels^2
Frame 128, Class: erc_90, Conf: 0.98, Mask Area: 46037 pixels^2
Frame 128, Class: erc_90, Conf: 0.33, Mask Area: 3724 pixels^2
Frame 129, Class: erc_90, Conf: 0.98, Mask Area: 46670 pixels^2
Frame 129, Class: erc_90, Conf: 0.60, Mask Area: 4244 pixels^2
Frame 130, Class: erc_90, Conf: 0.98, Mask Area: 46679 pixels^2
Frame 131, Class: erc_90, Conf: 0.98, Mask Area: 46401 pixels^2
Frame 131, Class: erc_90, Conf: 0.64, Mask Area: 4797 pixels^2
Frame 132, Class: erc_90, Conf: 0.98, Mask Area: 46437 pixels^2
Frame 132, Class: erc_90, Conf: 0.28, Mask Area: 5092 pixels^2
Frame 133, Class: erc_90, Conf: 0.97, Mask Area: 46063 pixels^2
Frame 133, Class: erc_90, Conf: 0.42, Mask Area: 5581 pixels^2
Frame 134, Class: erc_90, Conf: 0.97, Mask Area: 46326 pixels^2
Frame 134, Class: erc_90, Conf: 0.61, Mask Area: 5935 pixels^2
Frame 135, Class: erc_90, Conf: 0.98, Mask Area: 46503 pixels^2
Frame 135, Class: erc_90, Conf: 0.52, Mask Area: 6449 pixels^2
Frame 136, Class: erc_90, Conf: 0.98, Mask Area: 46124 pixels^2
Frame 136, Class: erc_90, Conf: 0.88, Mask Area: 7004 pixels^2
Frame 137, Class: erc_90, Conf: 0.98, Mask Area: 45482 pixels^2
Frame 137, Class: erc_90, Conf: 0.78, Mask Area: 7548 pixels^2
Frame 138, Class: erc_90, Conf: 0.98, Mask Area: 43676 pixels^2
Frame 138, Class: erc_90, Conf: 0.40, Mask Area: 8104 pixels^2
Frame 139, Class: erc_90, Conf: 0.98, Mask Area: 42590 pixels^2
Frame 139, Class: erc_90, Conf: 0.64, Mask Area: 8637 pixels^2
Frame 140, Class: erc_90, Conf: 0.97, Mask Area: 41351 pixels^2
Frame 140, Class: erc_90, Conf: 0.35, Mask Area: 9415 pixels^2
Frame 141, Class: erc_90, Conf: 0.97, Mask Area: 39703 pixels^2
Frame 141, Class: erc_90, Conf: 0.81, Mask Area: 9807 pixels^2
Frame 142, Class: erc_90, Conf: 0.97, Mask Area: 38203 pixels^2
Frame 142, Class: erc_90, Conf: 0.69, Mask Area: 10532 pixels^2
Frame 143, Class: erc_90, Conf: 0.98, Mask Area: 35981 pixels^2
Frame 143, Class: erc_90, Conf: 0.63, Mask Area: 10970 pixels^2
Frame 144, Class: erc_90, Conf: 0.89, Mask Area: 33452 pixels^2
Frame 144, Class: erc_90, Conf: 0.78, Mask Area: 11585 pixels^2
Frame 145, Class: erc_90, Conf: 0.94, Mask Area: 31793 pixels^2
Frame 145, Class: erc_90, Conf: 0.53, Mask Area: 11640 pixels^2
Frame 145, Class: erc_75, Conf: 0.35, Mask Area: 11645 pixels^2
Frame 146, Class: erc_90, Conf: 0.96, Mask Area: 29226 pixels^2
Frame 146, Class: erc_75, Conf: 0.52, Mask Area: 11899 pixels^2
Frame 146, Class: erc_90, Conf: 0.25, Mask Area: 11950 pixels^2
Frame 147, Class: erc_90, Conf: 0.67, Mask Area: 27980 pixels^2
Frame 148, Class: erc_90, Conf: 0.85, Mask Area: 25301 pixels^2
Frame 149, Class: erc_90, Conf: 0.29, Mask Area: 21016 pixels^2
Frame 149, Class: erc_90, Conf: 0.28, Mask Area: 13574 pixels^2
Frame 150, Class: erc_90, Conf: 0.83, Mask Area: 13926 pixels^2
Frame 150, Class: erc_90, Conf: 0.49, Mask Area: 17952 pixels^2
Frame 150, Class: erc_0-erc-75-erc_90-erc-50, Conf: 0.30, Mask Area: 17902 pixels^2
Frame 151, Class: erc_90, Conf: 0.69, Mask Area: 16026 pixels^2
Frame 151, Class: erc_90, Conf: 0.34, Mask Area: 14138 pixels^2
Frame 152, Class: erc_90, Conf: 0.82, Mask Area: 12309 pixels^2
Frame 153, Class: erc_90, Conf: 0.51, Mask Area: 9719 pixels^2
Frame 153, Class: erc_90, Conf: 0.28, Mask Area: 14367 pixels^2
Frame 154, Class: erc_90, Conf: 0.53, Mask Area: 7931 pixels^2
Frame 155, Class: erc_90, Conf: 0.76, Mask Area: 6184 pixels^2
Frame 155, Class: erc_90, Conf: 0.25, Mask Area: 16404 pixels^2
Frame 156, Class: erc_90, Conf: 0.52, Mask Area: 3659 pixels^2
Frame 156, Class: erc_90, Conf: 0.31, Mask Area: 17018 pixels^2
Frame 157, Class: erc_90, Conf: 0.43, Mask Area: 18010 pixels^2
Frame 189, Class: erc_90, Conf: 0.36, Mask Area: 14827 pixels^2
Frame 190, Class: erc_90, Conf: 0.34, Mask Area: 14795 pixels^2
Frame 231, Class: erc_90, Conf: 0.32, Mask Area: 4728 pixels^2
Frame 234, Class: erc_90, Conf: 0.32, Mask Area: 3484 pixels^2
Frame 237, Class: erc_90, Conf: 0.34, Mask Area: 2041 pixels^2
Frame 244, Class: erc_0-erc-75-erc_90-erc-50, Conf: 0.68, Mask Area: 4979 pixels^2
Frame 245, Class: erc_0-erc-75-erc_90-erc-50, Conf: 0.79, Mask Area: 6855 pixels^2
Frame 246, Class: erc_0-erc-75-erc_90-erc-50, Conf: 0.28, Mask Area: 8859 pixels^2
Frame 247, Class: erc_0-erc-75-erc_90-erc-50, Conf: 0.59, Mask Area: 12577 pixels^2
Frame 248, Class: erc_90, Conf: 0.32, Mask Area: 14379 pixels^2
Frame 249, Class: erc_75, Conf: 0.40, Mask Area: 16921 pixels^2
Frame 250, Class: erc_75, Conf: 0.70, Mask Area: 21088 pixels^2
Frame 251, Class: erc_75, Conf: 0.94, Mask Area: 23405 pixels^2
Frame 252, Class: erc_75, Conf: 0.97, Mask Area: 26020 pixels^2
Frame 253, Class: erc_75, Conf: 0.95, Mask Area: 30495 pixels^2
Frame 254, Class: erc_75, Conf: 0.97, Mask Area: 31764 pixels^2
Frame 255, Class: erc_75, Conf: 0.98, Mask Area: 33914 pixels^2
Frame 256, Class: erc_75, Conf: 0.97, Mask Area: 36892 pixels^2
Frame 257, Class: erc_75, Conf: 0.97, Mask Area: 37856 pixels^2
Frame 258, Class: erc_75, Conf: 0.99, Mask Area: 39582 pixels^2
Frame 259, Class: erc_75, Conf: 0.99, Mask Area: 40930 pixels^2
Frame 260, Class: erc_75, Conf: 0.98, Mask Area: 43539 pixels^2
Frame 261, Class: erc_75, Conf: 0.98, Mask Area: 44129 pixels^2
Frame 262, Class: erc_75, Conf: 0.99, Mask Area: 42914 pixels^2
Frame 263, Class: erc_75, Conf: 0.99, Mask Area: 44314 pixels^2
Frame 264, Class: erc_75, Conf: 0.97, Mask Area: 43819 pixels^2
Frame 265, Class: erc_75, Conf: 0.99, Mask Area: 44296 pixels^2
Frame 266, Class: erc_75, Conf: 0.99, Mask Area: 43160 pixels^2
Frame 267, Class: erc_75, Conf: 0.99, Mask Area: 44182 pixels^2
Frame 268, Class: erc_75, Conf: 0.97, Mask Area: 43935 pixels^2
Frame 269, Class: erc_75, Conf: 0.98, Mask Area: 44535 pixels^2
Frame 270, Class: erc_75, Conf: 0.98, Mask Area: 44265 pixels^2
Frame 271, Class: erc_75, Conf: 0.99, Mask Area: 43995 pixels^2
Frame 272, Class: erc_75, Conf: 0.99, Mask Area: 44000 pixels^2
Frame 273, Class: erc_75, Conf: 0.99, Mask Area: 43103 pixels^2
Frame 274, Class: erc_75, Conf: 0.99, Mask Area: 43503 pixels^2
Frame 275, Class: erc_75, Conf: 0.97, Mask Area: 43425 pixels^2
Frame 276, Class: erc_75, Conf: 0.97, Mask Area: 43147 pixels^2
Frame 277, Class: erc_75, Conf: 0.98, Mask Area: 43319 pixels^2
Frame 278, Class: erc_75, Conf: 0.98, Mask Area: 43469 pixels^2
Frame 279, Class: erc_75, Conf: 0.98, Mask Area: 43322 pixels^2
Frame 280, Class: erc_75, Conf: 0.98, Mask Area: 43491 pixels^2
Frame 281, Class: erc_75, Conf: 0.98, Mask Area: 43433 pixels^2
Frame 282, Class: erc_75, Conf: 0.98, Mask Area: 43176 pixels^2
Frame 283, Class: erc_75, Conf: 0.98, Mask Area: 43062 pixels^2
Frame 284, Class: erc_75, Conf: 0.99, Mask Area: 43169 pixels^2
Frame 285, Class: erc_75, Conf: 0.99, Mask Area: 43238 pixels^2
Frame 286, Class: erc_75, Conf: 0.98, Mask Area: 43225 pixels^2
Frame 287, Class: erc_75, Conf: 0.98, Mask Area: 43081 pixels^2
Frame 288, Class: erc_75, Conf: 0.98, Mask Area: 43524 pixels^2
Frame 289, Class: erc_75, Conf: 0.98, Mask Area: 43778 pixels^2
Frame 290, Class: erc_75, Conf: 0.98, Mask Area: 43295 pixels^2
Frame 291, Class: erc_75, Conf: 0.98, Mask Area: 43190 pixels^2
Frame 292, Class: erc_75, Conf: 0.97, Mask Area: 43500 pixels^2
Frame 293, Class: erc_75, Conf: 0.97, Mask Area: 43850 pixels^2
Frame 294, Class: erc_75, Conf: 0.98, Mask Area: 43536 pixels^2
Frame 295, Class: erc_75, Conf: 0.98, Mask Area: 43217 pixels^2
Frame 296, Class: erc_75, Conf: 0.98, Mask Area: 43877 pixels^2
Frame 297, Class: erc_75, Conf: 0.98, Mask Area: 43825 pixels^2
Frame 298, Class: erc_75, Conf: 0.97, Mask Area: 43398 pixels^2
Frame 299, Class: erc_75, Conf: 0.97, Mask Area: 43718 pixels^2
Frame 300, Class: erc_75, Conf: 0.98, Mask Area: 43215 pixels^2
Frame 301, Class: erc_75, Conf: 0.98, Mask Area: 43285 pixels^2
Frame 302, Class: erc_75, Conf: 0.98, Mask Area: 43450 pixels^2
Frame 303, Class: erc_75, Conf: 0.98, Mask Area: 43390 pixels^2
Frame 304, Class: erc_75, Conf: 0.98, Mask Area: 43337 pixels^2
Frame 305, Class: erc_75, Conf: 0.98, Mask Area: 43588 pixels^2
Frame 306, Class: erc_75, Conf: 0.98, Mask Area: 43428 pixels^2
Frame 307, Class: erc_75, Conf: 0.98, Mask Area: 43689 pixels^2
Frame 308, Class: erc_75, Conf: 0.98, Mask Area: 43441 pixels^2
Frame 309, Class: erc_75, Conf: 0.98, Mask Area: 43620 pixels^2
Frame 310, Class: erc_75, Conf: 0.98, Mask Area: 43434 pixels^2
Frame 311, Class: erc_75, Conf: 0.98, Mask Area: 43418 pixels^2
Frame 312, Class: erc_75, Conf: 0.98, Mask Area: 43408 pixels^2
Frame 313, Class: erc_75, Conf: 0.98, Mask Area: 43294 pixels^2
Frame 314, Class: erc_75, Conf: 0.98, Mask Area: 43114 pixels^2
Frame 315, Class: erc_75, Conf: 0.98, Mask Area: 43137 pixels^2
Frame 316, Class: erc_75, Conf: 0.98, Mask Area: 43330 pixels^2
Frame 317, Class: erc_75, Conf: 0.98, Mask Area: 43245 pixels^2
Frame 318, Class: erc_75, Conf: 0.97, Mask Area: 43445 pixels^2
Frame 319, Class: erc_75, Conf: 0.98, Mask Area: 43425 pixels^2
Frame 320, Class: erc_75, Conf: 0.98, Mask Area: 43357 pixels^2
Frame 321, Class: erc_75, Conf: 0.98, Mask Area: 43453 pixels^2
Frame 322, Class: erc_75, Conf: 0.98, Mask Area: 43207 pixels^2
Frame 323, Class: erc_75, Conf: 0.98, Mask Area: 43210 pixels^2
Frame 324, Class: erc_75, Conf: 0.97, Mask Area: 43294 pixels^2
Frame 325, Class: erc_75, Conf: 0.97, Mask Area: 43220 pixels^2
Frame 326, Class: erc_75, Conf: 0.98, Mask Area: 43735 pixels^2
Frame 327, Class: erc_75, Conf: 0.98, Mask Area: 43984 pixels^2
Frame 328, Class: erc_75, Conf: 0.98, Mask Area: 43419 pixels^2
Frame 329, Class: erc_75, Conf: 0.98, Mask Area: 43329 pixels^2
Frame 330, Class: erc_75, Conf: 0.98, Mask Area: 43573 pixels^2
